PID,experimenter,location,gender,age_M,age_Y,age_group,condition,CB_order,prior_experience,color_choice,comp_check,manip_check,Happy Rating 1,happy_1,Sad Rating 1,sad_1,Angry Rating 1,angry_1,Fairness Rating 1,fair_1,Fairness explanation 1,diffs,look_time_hh:mm:ss,look_time,play_again,attribution,Cause Explanation,change,Change Explanation,board_choice,board explanation,Happy Rating 2,happy_2,Sad Rating 2,sad_2,Angry Rating 2,angry_2,Fairness Rating 2,fair_2,Fairness Explanation 2
DA01,Rachael,Zoom,F,54,4,A,Disadvantaged,1,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because it was fun,0,0:02:50,170,Y,Structural,Higher numbers,Y,Because they practice more,Equal,I don't know,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because I tried my best
DA02,Josie,Parks,M,54,4,A,Disadvantaged,2,N,Green,Y,other player,A little happy,2,A little sad,2,Not angry at all,1,A little unfair,2,.,1,0:02:43,163,Y,Structural,wiggly wobbly (pointed to twists/turns in the game board),.,I don't know,Equal,.,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,don't know
DA03,Josie,Parks,M,59,4,A,Disadvantaged,3,N,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,don't know,1,0:01:43,103,N,Structural,lots of orange slides and green ladders,Y,more practice,Equal,you can go down every one,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,cause I won
DA04,Rachael,Parks,M,69,5,A,Disadvantaged,1,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because I loved it,1,0:01:57,117,Y,Internal,If they're happy,Y,If they're 6 or 7 they can do better because they're kind of like adults and can do everything,Equal,Because we can go on both slides,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because I like it
DA05,Josie,Zoom,F,70,5,A,Disadvantaged,2,Y,Green,Y,other player,Pretty happy,3,Not sad at all,1,Not angry at all,1,A little fair,3,Because it was fun,1,0:01:52,112,Y,Internal,cause they play so much,Y,cause they work hard,Equal,Because the stripes are colorful,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because it's really fun
DA06,Josie,Parks,M,50,4,A,Disadvantaged,3,Y,Orange,Y,other player,Not happy at all,1,Pretty sad,3,Really angry,4,Really unfair,1,I want to play the other game when it was just me,0,0:00:30,30,Y,Structural,didn't know,Y,didn't know,Equal,it's easier,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,because I want to play
DA07,Josie,Parks,M,52,4,A,Disadvantaged,1,Y,Orange,Y,other player,Not happy at all,1,Not sad at all,1,Really angry,4,Really unfair,1,I lost,0,0:01:16,76,Y,Internal,they won basically,Y,they get bigger numbers,Equal,easier,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,I won
DA08,Josie,Parks,F,50,4,A,Disadvantaged,2,N,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,when the spinner went you go up ,0,0:00:54,54,Y,Structural,cause when you go up sometimes you go to the finish line and you win,N,cause if you go up the slides and the player goes down the slides you set; if you go down a slide that's not your color,Equal,cause you can use the same ladders as your friends and you don't have to go on different ones,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,cause if you go up the same ladder it makes like a rainbow because red and green go in the same rainbow
DA09,Josie,Parks,M,64,5,A,Disadvantaged,3,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really unfair,1,cause he is up more,0,0:00:48,48,Y,Structural,cause the orange one could go up the ladders and the green one kept missing ladders,Y,for getting more (ladders),Equal,because everybody can both go on the same ones,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because i won
DA10,Josie,Parks,M,61,5,A,Disadvantaged,1,Y,Green,Y,other player,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,Because its actually fun,1,0:00:24,24,Y,Internal,Because they learn faster,Y,Because it doesn't have to be controlled,Equal,So we can both go on the same things; to see what's faster,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because I won
DA11,Rachael,Zoom,F,58,4,A,Disadvantaged,2,Y,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"Because we do not know if the green one is about to...the green one does not have a lot of slides (Note: hard to hear, audio cut out)",0,0:01:34,94,Y,Structural,If you do green there will be more chance you will win because there are more ladders...it'll be easier,Y,After playing a hundred and many days!,Equal,Because then they both follow each other,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because we both got more at the same time
DA12,Rachael,Zoom,M,53,4,A,Disadvantaged,3,N,Orange,Y,other player,Really happy,4,Really sad,4,A little angry,2,Really fair,4,I don't know,0,0:01:18,78,N,Structural,They get there faster,Y,I don't know,Equal,Cause we would go at the same time,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,I don't know
DA13,Rachael,Zoom,F,54,4,A,Disadvantaged,1,Y,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really unfair,1,Because the other kid got the most,.,.,.,Y,Structural,The green guy is so fast and I can't catch up with him ,Y,"Usually maybe mommy, my family, would do good at this game",Equal,"[chose disadvantaged, but error on ppt and had to play on equal]",Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because I finished!
DA14,Josie,Zoom,M,70,5,A,Disadvantaged,2,Y,Orange,Y,other player,A little happy,2,Not sad at all,1,Not angry at all,1,A little unfair,2,because I keep on going down slides,2,0:05:00,300,Y,Structural,because every time you play a game you get better at it,Y,because they practiced more than you,Equal,because then it's more fair,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because he was ahead of me and then I chose the slide and ladder and then I got ahead of him
DA15,Josie,Zoom,F,52,4,A,Disadvantaged,3,Y,Orange,Y,other player,Really happy,4,A little sad,2,A little angry,2,Really unfair,1,because the green one was winning a lot,1,0:00:53,53,N,Internal,the orange one or the green one (it depends on which player they are),Y,"go on the slide, then walk through, then win",Equal,because I really like it because it's a little bit like rainbow,A little happy,2,Really sad,4,Pretty angry,3,Really fair,4,because I won
DA16,Kaiah,Zoom,F,66,5,A,Disadvantaged,1,Y,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,the slides,1,0:02:54,174,N,.,(did not answer),N,i dont know,Disadvantaged,i want to see if i win,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because i won
DA17,Josie,Museum,F,61,5,A,Disadvantaged,2,N,Orange,Y,other player,A little happy,2,A little sad,2,Not angry at all,1,A little unfair,2,"I'm not telling you, no. .",1,0:02:22,142,Y,Structural,Last time we played candyland with mom she was happy when she did good and sad when she didn't. ,Y,I don't know. ,Equal,I'm not telling you. ,A little happy,2,Not sad at all,1,Not angry at all,1,A little fair,3,I'm not telling you. 
DA18,Josie,Zoom,F,53,4,A,Disadvantaged,3,Y,Orange,Y,other player,Pretty happy,3,Not sad at all,1,Pretty angry,3,A little fair,3,because it's kind of fun,0,0:00:54,54,N,Structural,"because it has more ladders, it has more slides",Y,cause they're good at winning,Equal,because it's kind of cool,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because I liked to go up the cool ladders
DA19,Kaiah,Zoom,F,64,5,A,Disadvantaged,1,Y,Orange,Y,other player,A little happy,2,A little sad,2,Not angry at all,1,A little unfair,2,"because the boy or girl got more points than me, I know shes gonna win before me",1,0:05:00,300,N,Structural,,Y,they can say go later than just now after you say it so you can think what number they might get and how fast they are going to get to the finish line,Equal,because it looks more pretty and i feel like im going to win,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,because we both get to use the same slides. if we use different than we be in differnet placs. and if we didnt do it then i feel like one person is gonna win but if we have the same then both of us might kind of win
DA20,Griffin,Zoom,F,62,5,A,Disadvantaged,2,N,Green,Y,other player,A little happy,2,Not sad at all,1,Not angry at all,1,A little fair,3,"I think it was a little fair... Because I got a little bit higher on each, but then I got down again",0,0:00:28,28,N,Internal,Because they climbed more ladders,Y,Because they moved more spaces then they got more ladders,Equal,I like the stripes so thats why I want to play on the new board,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,Because... and no one like... and thats it 
DA21,Josie,Parks,M,66,5,A,Disadvantaged,3,N,Green,Y,other player,.,.,Not sad at all,1,A little angry,2,A little unfair,2,because he (the other player) is so good at the game,1,0:01:19,79,Y,Internal,because they've played the game before,Y,he's a pro at this game,Equal,because it's easier,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because I won
DA22,Rachael,Zoom,F,69,5,A,Disadvantaged,1,N,Orange,Y,other player,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really unfair,1,because the other one is winning,0,0:00:59,59,N,Structural,its shorter and its not long,Y,they have to practice,Equal,because we can go up the ladders and use the same slides,Really happy,4,A little sad,2,Not angry at all,1,Really fair,4,because i winned
DA23,Kaiah,Museum,M,53,4,A,Disadvantaged,2,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,cause the orange player was winning,0,.,.,N,Structural,the orange player does better on the game board,Y,how old they are,Equal,because it has some slides connected together,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,because it was really similar to the other one we were playing
DA24,Rachael,Zoom,M,62,5,A,Disadvantaged,3,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,I don't know,0,0:01:30,90,Y,Internal,Because they practice a lot of times,Y,They can practice,Equal,It looks fun,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,I don't know.
DA25,Rachael,Zoom,M,68,5,A,Disadvantaged,1,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,A little unfair,2,I don't know,0,0:00:43,43,Y,Structural,I don't know,Y,Just read and read,Disadvantaged,n/a,Really happy,4,Not sad at all,1,A little angry,2,Really fair,4,Because I won
DA26,Rachael,Zoom,F,51,4,A,Disadvantaged,1,N,Green,Y,other player,Really happy,4,Really sad,4,Really angry,4,Really fair,4,Because I love this game,0,0:01:03,63,N,Structural,.,N,Cause it's such fun (?),Equal,.,Really happy,4,Really sad,4,Really angry,4,Really fair,4,Because I love that game!
DA27,Rachael,Zoom,F,57,4,A,Disadvantaged,2,Y,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because I don't care if somebody wins or doesn't win,0,0:01:08,68,Y,Structural,.,Y,Maybe...there's more ladders than the green slides. There's only two green slides and...maybe like 5 ladders,Equal,Because I like it,Really happy,4,A little sad,2,Not angry at all,1,Really fair,4,Because I liked the colors of the slides and the ladders
DB01,Josie,Parks,F,94,7,B,Disadvantaged,1,N,Green,Y,other player,Pretty happy,3,A little sad,2,Really angry,4,Really fair,4,because the other player's closer to the finish line,0,0:00:39,39,Y,Internal,the wheel tells them how many to go,Y,where they are on the game board changes it,Equal,can share the board,Pretty happy,3,Pretty sad,3,Pretty angry,3,Really fair,4,Because I won
DB02,Josie,Parks,M,82,6,B,Disadvantaged,2,Y,Green,Y,other player,Not happy at all,1,Not sad at all,1,Not angry at all,1,Really unfair,1,.,1,0:01:18,78,Y,Structural,They only had 2 slides and I had a lot. I only had 2 ladders and they had a lot,N,game is about luck,Equal,it looks more fair,A little happy,2,Not sad at all,1,Not angry at all,1,Really fair,4,because they got to use all the slides too and I got to use the ladders too
DB03,Josie,Parks,M,85,7,B,Disadvantaged,3,Y,Green,Y,other player,A little happy,2,A little sad,2,A little angry,2,A little unfair,2,because there were so many green slides,.,.,.,Y,Structural,more green slides,N,you can't change your number that you got on the spinner,Equal,because I'll have more ladders and it will be a lot better,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because the slides could be for both people and both people can use the same ladders
DB04,Josie,Parks,M,95,7,B,Disadvantaged,1,Y,Green,Y,other player,Not happy at all,1,Not sad at all,1,Pretty angry,3,A little fair,3,because everybody lost,1,0:00:36,36,N,Structural,green had less ladders and more slides,Y,by literally just cheating and not going on the slides,Equal,.,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,because I won and I'm playing versus a bot or AI
DB05,Rachael,Zoom,F,82,6,B,Disadvantaged,2,Y,Green,Y,other player,Pretty happy,3,A little sad,2,A little angry,2,Really unfair,1,Because they got more,1,0:01:12,72,Y,Structural,Me...it would make me do better. I want more ladders in this game!,Y,.,Equal,Because it's better,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,.
DB06,Kate,Zoom,M,73,6,B,Disadvantaged,3,Y,Orange,Y,other player,Pretty happy,3,Not sad at all,1,A little angry,2,A little fair,3,I don't know...I forgot,1,0:04:07,247,Y,Internal,They practice more,Y,They practice more,Equal,I don't know,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"Because the other player got ahead of me, and I also got ahead of him."
DB07,Josie,Parks,F,92,7,B,Disadvantaged,1,Y,Green,Y,other player,Pretty happy,3,A little sad,2,A little angry,2,Really unfair,1,because the other player keeps getting ladders and never got a slide,0,0:00:44,44,Y,Structural,I don't know,Y,the wheel gives you the answer,Equal,I think I could catch up with the other player because the other player always got orange ladders,Really happy,4,A little sad,2,Not angry at all,1,A little unfair,2,because I chose that board
DB08,Josie,Parks,M,84,7,B,Disadvantaged,2,Y,Green,Y,other player,A little happy,2,Not sad at all,1,Not angry at all,1,A little unfair,2,because the orange player has more ladders,0,0:02:32,152,Y,Structural,there are more ladders for the other player and they're higher,Y,have the same amount of ladders,Equal,because both players can slide and climb,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because the players could both go down the same slides and up
DB09,Josie,Parks,F,77,6,B,Disadvantaged,3,N,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"because we keep getting turns its not like he goes first, first, first and I only get one turn. we both keep going",0,0:01:18,78,Y,Internal,They've been practicing,Y,By trying harder,Equal,Cause that one. I like it because both of them can go,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Cause I won fair and square
DB10,Josie,Parks,F,78,6,B,Disadvantaged,1,Y,Orange,Y,other player,Pretty happy,3,A little sad,2,Not angry at all,1,Really fair,4,"Just for fun, no one won or lost",0,0:01:30,90,N,Structural,More ladders for them,N,Its just for fun,Equal,You can use every slide and ladder,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,No one wins or loses
DB11,Josie,Parks,M,82,6,B,Disadvantaged,2,Y,Orange,Y,other player,Pretty happy,3,Not sad at all,1,A little angry,2,A little unfair,2,I keep going down the slides,1,0:00:22,22,Y,Internal,Because they are good,Y,If they play it more than you,Equal,because he can go down the slides,Pretty happy,3,Not sad at all,1,Not angry at all,1,A little fair,3,I was losing and then I was winning
DB12,Josie,Parks,F,90,7,B,Disadvantaged,3,N,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"because um they played fairly because if they cheated and they went up my ,adder or didn't go down their slide it wouldn't be fair",1,0:02:06,126,Y,Structural,because some times a green one stopes at the orange ladder they can't go up,Y,Maybe...this could be wrong but maybe if you shout more maybe ,Disadvantaged,because its more fun,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because even if you're behind in the game you can still catch up
DB13,Kate,Parks,M,91,7,B,Disadvantaged,1,Y,Green,Y,other player,A little happy,2,Not sad at all,1,A little angry,2,A little fair,3,because I was pretty close to him,1,0:00:27,27,Y,Structural,because he has less slides and i have a lot of them,Y,they have to get better just like practice more,Equal,because it looks cooler,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,because people got the tall ladder and I just got the 3
DB14,Kate,Parks,F,93,7,B,Disadvantaged,2,Y,Orange,Y,other player,A little happy,2,Not sad at all,1,Not angry at all,1,A little fair,3,because the other one got a lot more ladders and i just got some...lots of slides,1,0:01:44,104,Y,Structural,it has more ladders...the green one has like a lot more ladders,Y,it depends on the colour...the green player can do better because they have more ladders,Equal,so its more fair,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,because it has the slides that like both of us
DB15,Rachael,Zoom,F,94,7,B,Disadvantaged,3,N,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,A little unfair,2,Because the other player gets more ladders and they're more bigger,1,0:01:35,95,Y,Internal,Playing the game lots of times over and over,Y,Playing over and over,Equal,Because it's more fair,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because we got the same slides and ladders
DB16,Rachael,Zoom,F,77,6,B,Disadvantaged,1,N,Green,Y,other player,A little happy,2,Not sad at all,1,Not angry at all,1,A little fair,3,There's more orange ladders than green ladders,0,0:02:00,120,Y,Structural,There's more ladders for the orange,Y,If they have it at home and they play it a lot,Equal,I don't know...I just want something new,A little happy,2,Not sad at all,1,Not angry at all,1,Really fair,4,"No one can't go up this ladder, and no one can't go down this slide"
DB17,Kate,Zoom,M,75,6,B,Disadvantaged,2,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because each person got their own color and slide.,1,0:01:21,81,Y,Internal,I don't know. ,Y,I don't know.,Equal,We can both use the slides and ladders.,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,The colors of the slides and ladders.
DB18,Josie,Zoom,M,76,6,B,Disadvantaged,3,Y,Orange,Y,other player,A little happy,2,A little sad,2,Pretty angry,3,Really unfair,1,because the green player had way more ladders and I had way more slides,1,0:01:28,88,N,Internal,because they're lucky and can avoid all the slides,Y,If they choose green they can do better,Equal,"So that I also have a bunch of ladders, it makes it more fair",Pretty happy,3,Not sad at all,1,Not angry at all,1,A little fair,3,because at least we can use all the ladders so we have a chance
DB19,Rachael,Zoom,M,93,7,B,Disadvantaged,1,N,Orange,Y,other player,Not happy at all,1,Not sad at all,1,Not angry at all,1,Really unfair,1,he got the most ladders,.,.,.,Y,Structural,because they have lot of ladders and i only have slides…,Y,practice,Equal,cause i get to go too,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,because he didnt get to win
DB20,Josie,Zoom,M,95,7,B,Disadvantaged,2,Y,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,A little unfair,2,because they had more ladders and I had more slides,0,0:00:52,52,Y,Structural,i think that the game board make it better to make it fair...its just doing it for no reason its doing normal. its automatic so it cant do what you want.,Y,cause there might be more ladders for the orange,Equal,"because everybody can use the same, we have the same amount of things",Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because we each had the same amount
DB21,Josie,Zoom,F,85,7,B,Disadvantaged,3,Y,Green,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,A little unfair,2,they didn't have to go on any of the slides,0,0:01:28,88,Y,Structural,"because when they spin it's not them, they can't control the board. If they could move the board they could always pick the numbers that led them to a slide or ladder",N,it depends on the board because the board spins it for you. If they could be better at it they could move the board and that would make them better,Equal,because the old board is not that fair because I have so many slides,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because we could both go on the stairs and the slides
DB22,Griffin,Zoom,F,89,7,B,Disadvantaged,1,Y,Green,Y,other player,A little happy,2,Not sad at all,1,Not angry at all,1,Really fair,4,I don't know,1,0:01:06,66,Y,Structural,There's more slides than ladders,Y,More ladders than slides,Equal,We can both go down the same slides,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,Because we can both go up and down the same thing
DB23,Josie,Museum,F,93,7,B,Disadvantaged,2,N,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because we didn't finish yet,1,0:04:45,285,Y,Structural,Because they were different ,Y,So both of us can get to the finish,Equal,Because it's pretty,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because the other player was close to the finish
DB24,Kaiah,Zoom,M,74,6,B,Disadvantaged,3,Y,Orange,Y,other player,A little happy,2,Not sad at all,1,Pretty angry,3,A little fair,3,cause he's gonna win and im gonna lose and that's a little bit unfair,0,0:01:14,74,Y,Structural, because he always gets the spinners…he always gets six and i always got…and he can go on ladders…the spinner is so bad,Y,because i think they are smarter and have done this before…not really smarter..the green player,Equal, because it looks easier so we can just go on the same ladders,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4, bcause i got in front of that guy and i liked that! it was so fair for me to win instead of that kid
DB25,Sarah,Zoom,M,72,6,B,Disadvantaged,1,Y,Orange,Y,other player,Not happy at all,1,Not sad at all,1,Not angry at all,1,A little fair,3,Because the other got ahead of me.,0,0:00:21,21,Y,Structural,Because they are greater than me at this game.,Y,"Because they think the gameboard looks easy, not hard. ",Equal,Because it is a combination of both colors. ,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because I got to the top and everybody didn’t.
DB26,Josie,Museum,M,82,6,B,Disadvantaged,2,Y,Green,Y,other player,Pretty happy,3,A little sad,2,Not angry at all,1,A little unfair,2,cause they got 5 ladders and I got 5 slides,0,0:01:10,70,N,Structural,I only have 2 ladders and I have 7 slides and they have 7 ladders,Y,good luck,Equal,cause whatever they get I also get,Pretty happy,3,Not sad at all,1,Not angry at all,1,A little fair,3,cause last time they got more slides and this time when they got one I got one
DB27,Josie,Museum,M,73,6,B,Disadvantaged,3,Y,Orange,Y,other player,Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,because that player was going so far ahead,1,0:01:55,115,Y,Structural,they have less big slides and I have less ladders and more biggers slides,N,because you don't really know who's gonna win,Equal,because I want to have more chances of winning,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because the other player got far and I was behind but I still won
